Time,w_f,F,N1,N2,P3,T5
0,0.812741074565359,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.001,0.81347672630684,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.002,0.814212377348322,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.003,0.814948026989805,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.004,0.815683674531291,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.005,0.816419319272785,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.006,0.817154960514293,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.007,0.817890597555827,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.008,0.818626229697402,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.009,0.819361856239037,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.01,0.820097476480757,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.011,0.820833089722594,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.012,0.821568695264588,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.013,0.822304292406784,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.014,0.823039880449237,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.015,0.823775458692011,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.016,0.824511026435179,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.017,0.825246582978826,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.018,0.825982127623048,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.019,0.826717659667951,31.7682819366449,6999.990234375,12716.0302734375,1455.49572753902,1138.25402832026
0.02,0.827453178413655,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.021,0.828188683160293,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.022,0.828924173208014,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.023,0.829659647856978,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.024,0.830395106407362,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.025,0.831130548159361,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.026,0.831865972413184,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.027,0.832601378469059,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.028,0.833336765627232,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.029,0.834072133187968,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.03,0.83480748045155,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.031,0.835542806718284,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.032,0.836278111288495,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.033,0.837013393462531,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.034,0.837748652540762,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.035,0.838483887823579,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.036,0.8392190986114,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.037,0.839954284204667,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.038,0.840689443903844,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.039,0.841424577009425,31.8032213560185,6999.99023437497,12716.0302734375,1457.96058961601,1141.43723871548
0.04,0.842159682821928,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.041,0.8428947606419,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.042,0.843629809769914,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.043,0.844364829506574,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.044,0.845099819152511,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.045,0.845834778008387,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.046,0.846569705374897,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.047,0.847304600552764,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.048,0.848039462842745,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.049,0.848774291545629,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
